IP地址,数据中心,地区,城市,网络延迟
172.67.71.90,HKG,亚太地区,香港,77 ms
172.67.70.43,HKG,亚太地区,香港,83 ms
172.67.75.144,HKG,亚太地区,香港,83 ms
162.159.141.32,HKG,亚太地区,香港,83 ms
172.67.65.172,HKG,亚太地区,香港,84 ms
172.67.73.144,HKG,亚太地区,香港,85 ms
162.159.130.122,HKG,亚太地区,香港,86 ms
172.67.79.247,HKG,亚太地区,香港,86 ms
104.20.30.2,HKG,亚太地区,香港,86 ms
104.26.5.216,HKG,亚太地区,香港,87 ms
104.26.12.168,HKG,亚太地区,香港,87 ms
104.20.28.33,HKG,亚太地区,香港,89 ms
162.159.142.227,HKG,亚太地区,香港,89 ms
104.26.4.197,HKG,亚太地区,香港,89 ms
104.20.24.132,HKG,亚太地区,香港,89 ms
104.20.31.130,HKG,亚太地区,香港,89 ms
104.26.3.249,HKG,亚太地区,香港,90 ms
104.20.21.202,HKG,亚太地区,香港,90 ms
162.159.134.172,HKG,亚太地区,香港,91 ms
172.67.77.253,HKG,亚太地区,香港,91 ms
104.26.15.234,HKG,亚太地区,香港,91 ms
162.159.153.111,HKG,亚太地区,香港,92 ms
162.159.128.157,HKG,亚太地区,香港,93 ms
162.159.152.249,HKG,亚太地区,香港,94 ms
104.20.23.104,HKG,亚太地区,香港,96 ms
104.26.7.225,HKG,亚太地区,香港,97 ms
162.159.137.120,HKG,亚太地区,香港,97 ms
104.20.27.130,HKG,亚太地区,香港,98 ms
172.65.226.22,HKG,亚太地区,香港,100 ms
104.26.14.193,HKG,亚太地区,香港,100 ms
104.20.25.140,HKG,亚太地区,香港,100 ms
172.67.78.97,HKG,亚太地区,香港,101 ms
104.16.40.232,SJC,北美洲,圣何塞,150 ms
104.19.240.186,SJC,北美洲,圣何塞,151 ms
104.17.66.8,SJC,北美洲,圣何塞,152 ms
104.18.87.59,SJC,北美洲,圣何塞,152 ms
104.18.83.248,SJC,北美洲,圣何塞,153 ms
104.18.253.36,SJC,北美洲,圣何塞,153 ms
104.19.238.246,SJC,北美洲,圣何塞,153 ms
104.16.47.1,SJC,北美洲,圣何塞,154 ms
104.19.246.67,SJC,北美洲,圣何塞,154 ms
104.18.64.38,SJC,北美洲,圣何塞,154 ms
104.16.57.1,SJC,北美洲,圣何塞,155 ms
104.17.99.197,SJC,北美洲,圣何塞,155 ms
104.16.39.207,SJC,北美洲,圣何塞,155 ms
104.18.86.242,SJC,北美洲,圣何塞,155 ms
104.17.61.243,SJC,北美洲,圣何塞,155 ms
104.21.238.85,SJC,北美洲,圣何塞,155 ms
104.17.85.184,SJC,北美洲,圣何塞,155 ms
104.19.161.146,SJC,北美洲,圣何塞,155 ms
104.16.26.189,SJC,北美洲,圣何塞,155 ms
104.18.188.156,SJC,北美洲,圣何塞,156 ms
104.19.228.183,SJC,北美洲,圣何塞,156 ms
104.18.233.173,SJC,北美洲,圣何塞,156 ms
104.18.243.62,SJC,北美洲,圣何塞,157 ms
104.19.212.246,SJC,北美洲,圣何塞,157 ms
104.18.236.110,SJC,北美洲,圣何塞,157 ms
104.17.240.145,SJC,北美洲,圣何塞,157 ms
104.17.241.72,SJC,北美洲,圣何塞,157 ms
104.16.235.111,SJC,北美洲,圣何塞,157 ms
104.16.201.29,SJC,北美洲,圣何塞,157 ms
104.17.217.252,SJC,北美洲,圣何塞,157 ms
104.18.186.193,SJC,北美洲,圣何塞,157 ms
104.16.250.82,SJC,北美洲,圣何塞,158 ms
104.18.206.86,SJC,北美洲,圣何塞,158 ms
104.17.57.149,SJC,北美洲,圣何塞,158 ms
104.17.73.224,SJC,北美洲,圣何塞,158 ms
104.17.20.190,SJC,北美洲,圣何塞,158 ms
104.16.227.9,SJC,北美洲,圣何塞,159 ms
104.16.206.199,SJC,北美洲,圣何塞,159 ms
104.17.244.19,SJC,北美洲,圣何塞,159 ms
104.17.189.182,SJC,北美洲,圣何塞,159 ms
104.16.80.58,SJC,北美洲,圣何塞,159 ms
104.17.163.215,SJC,北美洲,圣何塞,159 ms
104.17.171.12,SJC,北美洲,圣何塞,160 ms
104.17.70.107,SJC,北美洲,圣何塞,160 ms
104.19.253.243,SJC,北美洲,圣何塞,160 ms
104.18.66.82,SJC,北美洲,圣何塞,161 ms
104.17.115.40,SJC,北美洲,圣何塞,161 ms
104.17.238.189,SJC,北美洲,圣何塞,161 ms
104.17.248.164,SJC,北美洲,圣何塞,161 ms
104.16.79.47,SJC,北美洲,圣何塞,162 ms
104.18.124.100,SJC,北美洲,圣何塞,162 ms
104.19.231.65,SJC,北美洲,圣何塞,162 ms
104.17.211.158,SJC,北美洲,圣何塞,162 ms
104.18.225.68,SJC,北美洲,圣何塞,162 ms
104.19.176.183,SJC,北美洲,圣何塞,163 ms
104.16.178.124,SJC,北美洲,圣何塞,163 ms
104.16.246.127,SJC,北美洲,圣何塞,163 ms
104.16.173.9,SJC,北美洲,圣何塞,164 ms
104.18.195.29,SJC,北美洲,圣何塞,164 ms
104.16.42.142,SJC,北美洲,圣何塞,165 ms
104.16.254.128,SJC,北美洲,圣何塞,165 ms
104.17.255.71,SJC,北美洲,圣何塞,165 ms
104.17.156.99,SJC,北美洲,圣何塞,165 ms
104.18.194.241,SJC,北美洲,圣何塞,165 ms
104.17.2.244,SJC,北美洲,圣何塞,166 ms
104.17.208.150,SJC,北美洲,圣何塞,167 ms
104.18.221.209,SJC,北美洲,圣何塞,167 ms
104.16.46.87,SJC,北美洲,圣何塞,167 ms
104.17.172.183,SJC,北美洲,圣何塞,167 ms
104.17.113.169,SJC,北美洲,圣何塞,167 ms
104.17.48.153,SJC,北美洲,圣何塞,167 ms
104.17.55.23,SJC,北美洲,圣何塞,168 ms
104.16.90.203,SJC,北美洲,圣何塞,168 ms
104.21.233.125,SJC,北美洲,圣何塞,168 ms
104.17.195.216,SJC,北美洲,圣何塞,168 ms
104.16.121.96,SJC,北美洲,圣何塞,169 ms
104.17.246.99,SJC,北美洲,圣何塞,170 ms
104.19.214.171,SJC,北美洲,圣何塞,170 ms
104.16.95.192,SJC,北美洲,圣何塞,170 ms
104.16.51.191,SJC,北美洲,圣何塞,170 ms
104.16.105.172,SJC,北美洲,圣何塞,171 ms
104.16.138.163,SJC,北美洲,圣何塞,171 ms
104.19.155.219,SJC,北美洲,圣何塞,171 ms
104.17.168.200,SJC,北美洲,圣何塞,172 ms
104.16.155.196,SJC,北美洲,圣何塞,172 ms
104.16.96.249,SJC,北美洲,圣何塞,172 ms
104.16.34.124,SJC,北美洲,圣何塞,173 ms
104.16.63.204,SJC,北美洲,圣何塞,173 ms
192.133.11.248,LAX,北美洲,洛杉矶,173 ms
104.18.127.166,SJC,北美洲,圣何塞,174 ms
104.17.123.75,SJC,北美洲,圣何塞,174 ms
104.17.77.57,SJC,北美洲,圣何塞,174 ms
104.19.146.230,SJC,北美洲,圣何塞,174 ms
198.41.205.44,LAX,北美洲,洛杉矶,174 ms
104.27.109.210,LAX,北美洲,洛杉矶,174 ms
104.17.145.105,SJC,北美洲,圣何塞,175 ms
104.18.116.72,SJC,北美洲,圣何塞,175 ms
104.23.98.96,LAX,北美洲,洛杉矶,175 ms
104.17.32.76,SJC,北美洲,圣何塞,175 ms
104.18.117.184,SJC,北美洲,圣何塞,175 ms
104.17.91.2,SJC,北美洲,圣何塞,175 ms
104.17.242.180,SJC,北美洲,圣何塞,175 ms
104.17.250.8,SJC,北美洲,圣何塞,175 ms
104.18.162.120,SJC,北美洲,圣何塞,175 ms
104.16.219.17,SJC,北美洲,圣何塞,175 ms
104.19.175.108,SJC,北美洲,圣何塞,176 ms
104.17.239.43,SJC,北美洲,圣何塞,176 ms
104.18.166.237,SJC,北美洲,圣何塞,176 ms
104.16.21.131,SJC,北美洲,圣何塞,176 ms
104.21.27.236,LAX,北美洲,洛杉矶,176 ms
104.19.229.224,SJC,北美洲,圣何塞,176 ms
104.27.45.181,LAX,北美洲,洛杉矶,176 ms
104.27.46.146,LAX,北美洲,洛杉矶,176 ms
104.18.91.183,SJC,北美洲,圣何塞,177 ms
104.16.158.127,SJC,北美洲,圣何塞,177 ms
104.17.84.217,SJC,北美洲,圣何塞,177 ms
104.19.147.13,SJC,北美洲,圣何塞,177 ms
104.17.199.61,SJC,北美洲,圣何塞,177 ms
185.174.138.248,LAX,北美洲,洛杉矶,177 ms
104.24.151.248,LAX,北美洲,洛杉矶,177 ms
104.17.151.57,SJC,北美洲,圣何塞,177 ms
104.19.224.127,SJC,北美洲,圣何塞,177 ms
104.18.171.8,SJC,北美洲,圣何塞,177 ms
104.17.224.214,SJC,北美洲,圣何塞,177 ms
104.18.173.24,SJC,北美洲,圣何塞,178 ms
104.20.100.207,LAX,北美洲,洛杉矶,178 ms
104.17.159.50,SJC,北美洲,圣何塞,178 ms
104.18.112.2,SJC,北美洲,圣何塞,178 ms
104.16.16.244,SJC,北美洲,圣何塞,178 ms
104.18.98.0,SJC,北美洲,圣何塞,178 ms
104.18.13.135,LAX,北美洲,洛杉矶,178 ms
104.18.227.132,SJC,北美洲,圣何塞,178 ms
104.18.105.4,SJC,北美洲,圣何塞,178 ms
104.17.18.50,SJC,北美洲,圣何塞,178 ms
104.17.175.230,SJC,北美洲,圣何塞,178 ms
104.19.248.22,SJC,北美洲,圣何塞,178 ms
104.16.161.15,SJC,北美洲,圣何塞,179 ms
104.16.45.163,SJC,北美洲,圣何塞,179 ms
104.16.252.89,SJC,北美洲,圣何塞,179 ms
172.67.171.61,LAX,北美洲,洛杉矶,179 ms
172.64.38.72,LAX,北美洲,洛杉矶,179 ms
104.17.132.242,SJC,北美洲,圣何塞,179 ms
104.17.143.36,SJC,北美洲,圣何塞,179 ms
104.17.180.152,SJC,北美洲,圣何塞,179 ms
104.17.16.93,SJC,北美洲,圣何塞,179 ms
104.16.157.224,SJC,北美洲,圣何塞,179 ms
104.17.119.145,SJC,北美洲,圣何塞,179 ms
104.18.33.49,LAX,北美洲,洛杉矶,179 ms
162.159.4.3,LAX,北美洲,洛杉矶,179 ms
104.18.121.5,SJC,北美洲,圣何塞,179 ms
104.18.187.15,SJC,北美洲,圣何塞,179 ms
104.17.223.181,SJC,北美洲,圣何塞,179 ms
104.16.249.142,SJC,北美洲,圣何塞,179 ms
104.18.15.230,LAX,北美洲,洛杉矶,180 ms
104.17.225.14,SJC,北美洲,圣何塞,180 ms
104.18.37.109,LAX,北美洲,洛杉矶,180 ms
104.18.99.22,SJC,北美洲,圣何塞,180 ms
104.19.215.202,SJC,北美洲,圣何塞,180 ms
104.27.107.44,LAX,北美洲,洛杉矶,180 ms
